shotnum,tstart,tend,ip,bcentr,density,ptot,rsurf,kappa,aminor,wmhd,wfast,wdot,pinj,pnbi,echpwrc,vloop,betan,taue,tauth,h_thh98y2,h_l89,cerqrott6,q95,tste_core,tsne_core,cerqtit6,cerqnzt6,n1rms,n2rms,nm1rms,tok,tinj,zefft6,ceratit6,cerarott6,nbvac21lt,nbvac21rt,pohm,pech,vsurf,area
193728,3130,3710,985082.5,-2.0281014442443848,32065058071369.28,8552583.0,1.755892038345337,1.4126629829406738,0.5704211592674255,749790.9375,346690.75,134.15354919433594,8520.2470703125,8531324.0,529.3829620677575,0.0535632222890853,2.525480031967163,0.0877386033535003,0.0471485443413257,0.9430423378944396,1.898870587348938,-62.94108963012695,2.7334349155426025,2428.400146484375,3.308866774191885e+19,5318.1484375,4.0303700976536125e+18,10.140830039978027,0.8156033158302307,1.4948813915252686,NT,6.8597822189331055,4.440927982330322,,,-0.0012669793795794,-0.0012885768665,,-348.8585205078125,0.2193793952465057,1.3084343671798706
193733,3060,3540,499327.09375,-2.020293474197388,21503570212230.36,4348896.0,1.6847755908966064,1.3595527410507202,0.6245275735855103,322057.75,215581.953125,-11190.21484375,4662.14599609375,4657250.0,-1.824370603240563,0.0690808966755867,1.996114611625672,0.0739859566092491,0.0244850870221853,0.6887401342391968,2.194525718688965,-52.40133666992188,7.182852745056152,1002.5086059570312,2.065706371172532e+19,1497.0908203125,1.0003417262645576e+18,1.433203101158142,0.0841102302074432,0.2971067428588867,NT,3.705758810043335,2.417063474655152,1510.6175537109375,-52.446388244628906,-0.0007430071709677,-0.0007200234103947,,140.18585205078125,0.0846482366323471,1.5415555238723757
193749,2120,2680,789712.375,-2.021085739135742,36721275217664.11,4006499.0,1.7344064712524414,1.4198307991027832,0.5570423007011414,463661.0625,105438.765625,28174.279296875,3989.782958984375,4000983.75,-5.685254040876357,0.2583640515804291,1.972880482673645,0.1165945008397102,0.0900832340121269,1.2582107782363892,2.0859503746032715,-91.43045806884766,3.331566095352173,1334.7296142578125,3.599857144431641e+19,1732.3631591796875,9.388454224477553e+17,1.23711097240448,0.0716535225510597,0.8589426279067993,NT,3.8222711086273193,1.7468620538711548,1759.89306640625,-91.3080825805664,-0.0006407376495189,-0.0007550187292508,136960.296875,232.6605529785156,0.1918359845876693,1.2644561529159546
193752,2210,2740,985601.375,-2.020182609558105,46479987348755.88,2957176.0,1.734380125999451,1.4493653774261477,0.5558599829673767,496603.875,50404.8671875,26220.060546875,2921.518310546875,2747455.5,-40.32717559990056,0.3064343631267547,1.6497124433517456,0.1697241514921188,0.1525090336799621,1.2462786436080933,2.087569236755371,-94.32884216308594,2.736681699752808,1430.0965576171875,4.76832772257617e+19,1645.607421875,1.2156945475819274e+18,1.1396424770355225,0.0792799592018127,1.7291444540023804,NT,2.7837955951690674,1.7163162231445312,1669.10009765625,-94.2393569946289,-0.0003739483654499,-0.0004062258522026,269086.46875,7.606969833374023,0.2843316197395324,1.2972620725631714
193753,2170,2720,986309.8125,-2.020202875137329,49715026727315.88,4143172.0,1.73503577709198,1.452255368232727,0.555849015712738,588195.1875,73078.671875,38568.38671875,3996.202880859375,3985440.5,-90.73240883026804,0.2460072338581085,1.9530260562896729,0.1433957666158676,0.1255842596292495,1.259644865989685,2.069981098175049,-101.29631805419922,2.75239896774292,1528.6427001953125,5.1446843954987794e+19,1794.694580078125,1.2403996117853798e+18,1.9089401960372925,0.1890385448932647,1.8570756912231443,NT,3.830132484436035,1.6897608041763306,1822.9671630859373,-101.20501708984376,-0.0006251538870856,-0.0006698034703731,240675.203125,230.16246032714844,0.2574742138385772,1.2961809635162354
193753,2920,3410,986397.5625,-2.023663282394409,47814680943482.766,5905485.0,1.7358006238937378,1.4542464017868042,0.5565156936645508,690821.625,125487.453125,8943.904296875,5919.4423828125,5840976.0,-86.67866510508584,0.2299126386642456,2.2900240421295166,0.117212064564228,0.0959176942706108,1.255241870880127,2.032515048980713,-101.66339874267578,2.778454065322876,1814.0228271484373,4.929419370184888e+19,2142.2275390625,2.1834112899492088e+18,4.481526851654053,0.3938098549842834,2.540604829788208,NT,5.05819034576416,2.289013862609864,2173.203125,-101.70377349853516,-0.000712942215614,-0.0008292433922179,214457.484375,-207.2684631347656,0.2134103775024414,1.296945333480835
193753,3580,3930,985663.5,-2.025204658508301,47159643966495.7,6759654.5,1.736354947090149,1.4555110931396484,0.5563682913780212,772826.75,157655.0,43947.265625,6979.67333984375,6742022.0,-101.84989285315808,0.1663069128990173,2.569063186645508,0.1151419878005981,0.0916559547185897,1.3218011856079102,2.1335349082946777,-110.6966323852539,2.7936182022094727,2049.947998046875,4.842714082241728e+19,2593.9169921875,2.970233630535713e+18,5.283747673034668,0.5109520554542542,3.2838001251220703,NT,6.0988874435424805,2.7649354934692383,2625.722412109375,-110.75294494628906,-0.001004967954941,-0.0011531449854373,216058.171875,-30.27501678466797,0.1867742240428924,1.2941818237304688
193753,4420,4950,985595.875,-2.034012079238892,46261687745743.27,7914034.0,1.7362924814224243,1.4588950872421265,0.5571949481964111,826615.0625,195978.890625,-13258.939453125,7941.9794921875,7918691.0,-74.44009022982141,0.2457715719938278,2.729369640350342,0.1043609306216239,0.0796143636107444,1.2932908535003662,2.099543333053589,-91.23189544677734,2.832677125930786,2122.04296875,4.607857958744123e+19,2873.923583984375,3.664961426935513e+18,7.08044958114624,0.4665899574756622,3.9469754695892334,NT,6.693807125091553,3.252932548522949,2899.9970703125,-91.13297271728516,-0.0011009710142388,-0.0012814467772841,191103.921875,152.13836669921875,0.1952259689569473,1.3005011081695557
193754,4380,5000,984842.5625,-2.031754970550537,56093526364783.11,7955850.0,1.7357614040374756,1.460904836654663,0.5562354922294617,844578.625,148780.796875,26767.859375,7981.0849609375,7974772.5,-64.14580660071664,0.187865599989891,2.796211242675781,0.1065511703491211,0.0877839028835296,1.3211100101470947,2.106006145477295,-96.54051971435548,2.833071708679199,1892.911865234375,5.664744599343805e+19,2312.620361328125,2.4133285171660063e+18,4.974812030792236,0.4742228984832763,3.0028462409973145,NT,6.729791641235352,2.252182483673096,2361.430908203125,-96.57917785644533,-0.0011784085072577,-0.0013432983541861,188188.265625,-303.8508605957031,0.1758491694927215,1.2958636283874512
193754,3680,4200,985360.375,-2.025768280029297,56699942298720.39,6793859.5,1.7357101440429688,1.4575318098068235,0.5560725331306458,800190.6875,120928.703125,-7767.86572265625,6964.38916015625,6766490.0,-117.93581461019326,0.1847329139709472,2.6589066982269287,0.1177247837185859,0.0999323204159736,1.3489351272583008,2.1555421352386475,-99.91022491455078,2.805037021636963,1808.0552978515625,5.781723400641498e+19,2160.541015625,2.118806048285393e+18,3.0101518630981445,0.3883143365383148,2.405994176864624,NT,6.088077068328857,2.088578462600708,2208.264892578125,-99.92706298828124,-0.0010705739259719,-0.0011930457549169,220393.0,111.1255874633789,0.1860524117946624,1.293494462966919
193754,3050,3520,985748.125,-2.022995710372925,57044182151595.2,5959521.5,1.7355302572250366,1.453714370727539,0.5560740828514099,719132.5,97674.46875,5661.078125,5957.67333984375,5880878.5,-121.3672297477418,0.247886523604393,2.392311811447144,0.1210313811898231,0.1045907661318779,1.2842499017715454,2.072948455810547,-91.70999908447266,2.777891159057617,1629.455078125,5.978706626218033e+19,1904.2169189453125,1.975621596802449e+18,2.6538567543029785,0.3243314027786255,2.0887036323547363,NT,5.102262020111084,2.0054521560668945,1944.9483642578125,-91.71392059326172,-0.0007424694485962,-0.0008533481159247,229919.640625,93.0789794921875,0.2146628648042678,1.292541742324829
